filepath,label
Datasets\siren\ambulance\sound_1.wav,1
Datasets\siren\ambulance\sound_10.wav,1
Datasets\siren\ambulance\sound_100.wav,1
Datasets\siren\ambulance\sound_100_1.wav,1
Datasets\siren\ambulance\sound_101.wav,1
Datasets\siren\ambulance\sound_101_1.wav,1
Datasets\siren\ambulance\sound_102.wav,1
Datasets\siren\ambulance\sound_102_1.wav,1
Datasets\siren\ambulance\sound_103.wav,1
Datasets\siren\ambulance\sound_103_1.wav,1
Datasets\siren\ambulance\sound_104.wav,1
Datasets\siren\ambulance\sound_104_1.wav,1
Datasets\siren\ambulance\sound_105.wav,1
Datasets\siren\ambulance\sound_105_1.wav,1
Datasets\siren\ambulance\sound_106.wav,1
Datasets\siren\ambulance\sound_106_1.wav,1
Datasets\siren\ambulance\sound_107.wav,1
Datasets\siren\ambulance\sound_107_1.wav,1
Datasets\siren\ambulance\sound_108.wav,1
Datasets\siren\ambulance\sound_108_1.wav,1
Datasets\siren\ambulance\sound_109.wav,1
Datasets\siren\ambulance\sound_109_1.wav,1
Datasets\siren\ambulance\sound_10_1.wav,1
Datasets\siren\ambulance\sound_11.wav,1
Datasets\siren\ambulance\sound_110.wav,1
Datasets\siren\ambulance\sound_110_1.wav,1
Datasets\siren\ambulance\sound_111.wav,1
Datasets\siren\ambulance\sound_111_1.wav,1
Datasets\siren\ambulance\sound_112.wav,1
Datasets\siren\ambulance\sound_112_1.wav,1
Datasets\siren\ambulance\sound_113.wav,1
Datasets\siren\ambulance\sound_113_1.wav,1
Datasets\siren\ambulance\sound_114.wav,1
Datasets\siren\ambulance\sound_114_1.wav,1
Datasets\siren\ambulance\sound_115.wav,1
Datasets\siren\ambulance\sound_115_1.wav,1
Datasets\siren\ambulance\sound_116.wav,1
Datasets\siren\ambulance\sound_116_1.wav,1
Datasets\siren\ambulance\sound_117.wav,1
Datasets\siren\ambulance\sound_117_1.wav,1
Datasets\siren\ambulance\sound_118.wav,1
Datasets\siren\ambulance\sound_118_1.wav,1
Datasets\siren\ambulance\sound_119.wav,1
Datasets\siren\ambulance\sound_119_1.wav,1
Datasets\siren\ambulance\sound_11_1.wav,1
Datasets\siren\ambulance\sound_12.wav,1
Datasets\siren\ambulance\sound_120.wav,1
Datasets\siren\ambulance\sound_120_1.wav,1
Datasets\siren\ambulance\sound_121.wav,1
Datasets\siren\ambulance\sound_121_1.wav,1
Datasets\siren\ambulance\sound_122.wav,1
Datasets\siren\ambulance\sound_122_1.wav,1
Datasets\siren\ambulance\sound_123.wav,1
Datasets\siren\ambulance\sound_123_1.wav,1
Datasets\siren\ambulance\sound_124.wav,1
